Epoch [59], Step [35/120], Patch [4/6], SIDD Loss: 9.277168283006176e-05, DIV2K Loss: 0.011683918535709381
Epoch [59], Step [35/120], Patch [5/6], SIDD Loss: 6.584551010746509e-05, DIV2K Loss: 0.011240746825933456
Epoch [59], Step [35/120], Patch [6/6], SIDD Loss: 0.00019887671805918217, DIV2K Loss: 0.009945742785930634
Epoch [59], Step [36/120], Patch [1/6], SIDD Loss: 8.507007441949099e-05, DIV2K Loss: 0.0016289942432194948
Epoch [59], Step [36/120], Patch [2/6], SIDD Loss: 4.060655919602141e-05, DIV2K Loss: 0.00038570561446249485
Epoch [59], Step [36/120], Patch [3/6], SIDD Loss: 5.3079456847626716e-05, DIV2K Loss: 0.0005233893170952797
Epoch [59], Step [36/120], Patch [4/6], SIDD Loss: 3.355455555720255e-05, DIV2K Loss: 0.0022229664027690887
Epoch [59], Step [36/120], Patch [5/6], SIDD Loss: 4.405149957165122e-05, DIV2K Loss: 0.003164594992995262
Epoch [59], Step [36/120], Patch [6/6], SIDD Loss: 2.7464600862003863e-05, DIV2K Loss: 0.0024378220550715923
Epoch [59], Step [37/120], Patch [1/6], SIDD Loss: 0.0004940271028317511, DIV2K Loss: 0.014798007905483246
Epoch [59], Step [37/120], Patch [2/6], SIDD Loss: 0.0009399792179465294, DIV2K Loss: 0.01049869880080223
Epoch [59], Step [37/120], Patch [3/6], SIDD Loss: 0.0007018805481493473, DIV2K Loss: 0.02367398887872696
Epoch [59], Step [37/120], Patch [4/6], SIDD Loss: 0.00045171345118433237, DIV2K Loss: 0.01902785710990429
Epoch [59], Step [37/120], Patch [5/6], SIDD Loss: 0.0006114558782428503, DIV2K Loss: 0.018614664673805237
Epoch [59], Step [37/120], Patch [6/6], SIDD Loss: 0.0006680147489532828, DIV2K Loss: 0.009422948583960533
